Micrometer Position (mm),counts/10s,Photon/S (Hz)
0.5,37,3.7
0.55,32,3.2
0.6,24,2.4
0.65,20,2
0.7,23,2.3
0.75,30,3
0.8,26,2.6
0.85,31,3.1
0.9,21,2.1
0.95,27,2.7
1,30,3
1.05,33,3.3
1.1,29,2.9
1.15,26,2.6
1.2,38,3.8
1.25,51,5.1
1.3,44,4.4
1.35,35,3.5
1.4,28,2.8
1.45,33,3.3
1.5,34,3.4
1.55,39,3.9
1.6,26,2.6
1.65,38,3.8
1.7,46,4.6
1.75,40,4
1.8,47,4.7
1.85,52,5.2
1.9,74,7.4
1.95,79,7.9
2,70,7
2.05,62,6.2
2.1,61,6.1
2.15,59,5.9
2.2,63,6.3
2.25,44,4.4
2.3,53,5.3
2.35,58,5.8
2.4,48,4.8
2.45,76,7.6
2.5,95,9.5
2.55,103,10.3
2.6,110,11
2.65,102,10.2
2.7,111,11.1
2.75,82,8.2
2.8,61,6.1
2.85,45,4.5
2.9,39,3.9
2.95,45,4.5
3,48,4.8
3.05,77,7.7
3.1,101,10.1
3.15,102,10.2
3.2,101,10.1
3.25,103,10.3
3.3,81,8.1
3.35,69,6.9
3.4,45,4.5
3.45,44,4.4
3.5,31,3.1
3.55,42,4.2
3.6,54,5.4
3.65,49,4.9
3.7,44,4.4
3.75,47,4.7
3.8,43,4.3
3.85,49,4.9
3.9,49,4.9
3.95,50,5
4,44,4.4
4.05,55,5.5
4.1,64,6.4
4.15,61,6.1
4.2,78,7.8
4.25,66,6.6
4.3,54,5.4
4.35,63,6.3
4.4,84,8.4
4.45,57,5.7
4.5,84,8.4
4.55,101,10.1
4.6,94,9.4
4.65,113,11.3
4.7,121,12.1
4.75,139,13.9
4.8,187,18.7
4.85,205,20.5
4.9,260,26
4.95,284,28.4
5,299,29.9
5.05,306,30.6
5.1,285,28.5
5.15,222,22.2
5.2,211,21.1
5.25,166,16.6
5.3,189,18.9
5.35,276,27.6
5.4,428,42.8
5.45,626,62.6
5.5,797,79.7
5.55,869,86.9
5.6,874,87.4
5.65,841,84.1
5.7,616,61.6
5.75,473,47.3
5.8,305,30.5
5.85,255,25.5
5.9,276,27.6
5.95,502,50.2
6,677,67.7
6.05,1136,113.6
6.1,1452,145.2
6.15,1649,164.9
6.2,1556,155.6
6.25,1496,149.6
6.3,1031,103.1
6.35,729,72.9
6.4,420,42
6.45,246,24.6
6.5,324,32.4
6.55,589,58.9
6.6,877,87.7
6.65,1664,166.4
6.7,2030,203
6.75,2212,221.2
6.8,2225,222.5
6.85,2044,204.4
6.9,1326,132.6
6.95,842,84.2
7,371,37.1
7.05,191,19.1
7.1,245,24.5
7.15,582,58.2
7.2,1230,123
7.25,1506,150.6
7.3,2202,220.2
7.35,2433,243.3
7.4,2268,226.8
7.45,1928,192.8
7.5,1243,124.3
7.55,860,86
7.6,261,26.1
7.65,142,14.2
7.7,267,26.7
7.75,564,56.4
7.8,1054,105.4
7.85,1636,163.6
7.9,1932,193.2
7.95,2039,203.9
8,1849,184.9
8.05,1547,154.7
8.1,1019,101.9
8.15,563,56.3
8.2,361,36.1
8.25,142,14.2
8.3,229,22.9
8.35,479,47.9
8.4,901,90.1
8.45,1211,121.1
8.5,1310,131
8.55,1443,144.3
8.6,1233,123.3
8.65,1024,102.4
8.7,711,71.1
8.75,425,42.5
8.8,238,23.8
8.85,173,17.3
8.9,181,18.1
8.95,388,38.8
9,540,54
9.05,617,61.7
9.1,725,72.5
9.15,728,72.8
9.2,667,66.7
9.25,474,47.4
9.3,416,41.6
9.35,265,26.5
9.4,193,19.3
9.45,183,18.3
9.5,174,17.4
9.55,198,19.8
9.6,208,20.8
9.65,248,24.8
9.7,201,20.1
9.75,209,20.9
9.8,175,17.5
9.85,116,11.6
9.9,90,9
9.95,29,2.9
10,37,3.7
10.05,31,3.1
10.1,26,2.6
10.15,29,2.9
10.2,20,2
10.25,30,3
10.3,25,2.5
10.35,22,2.2
10.4,15,1.5
10.45,29,2.9
10.5,21,2.1
10.55,25,2.5
10.6,16,1.6
10.65,20,2
10.7,35,3.5
10.75,24,2.4
10.8,29,2.9
10.85,21,2.1
10.9,18,1.8
10.95,25,2.5
11,22,2.2
11.05,22,2.2
11.1,34,3.4
11.15,24,2.4
11.2,25,2.5
11.25,17,1.7
11.3,17,1.7
11.35,23,2.3
11.4,26,2.6
11.45,27,2.7
11.5,19,1.9
11.55,20,2
11.6,26,2.6
11.65,15,1.5
11.7,16,1.6
11.75,24,2.4
11.8,22,2.2
11.85,24,2.4
11.9,15,1.5
11.95,24,2.4
12,24,2.4
12.05,13,1.3
12.1,15,1.5
12.15,27,2.7
12.2,25,2.5
12.25,23,2.3
12.3,16,1.6
12.35,16,1.6
12.4,18,1.8
12.45,17,1.7
12.5,22,2.2
12.55,27,2.7
12.6,20,2
12.65,19,1.9
12.7,31,3.1
12.75,22,2.2
12.8,23,2.3
12.85,24,2.4
12.9,21,2.1
12.95,16,1.6
13,26,2.6
13.05,23,2.3
13.1,24,2.4
13.15,19,1.9
13.2,22,2.2
13.25,17,1.7
13.3,19,1.9
13.35,24,2.4
13.4,23,2.3
13.45,18,1.8
13.5,19,1.9
