Micrometer Position (mm),Counts/10s,Photon/S (Hz)
0,33,3.3
0.05,32,3.2
0.1,20,2
0.15,36,3.6
0.2,32,3.2
0.25,31,3.1
0.3,46,4.6
0.35,32,3.2
0.4,29,2.9
0.45,25,2.5
0.5,34,3.4
0.55,33,3.3
0.6,31,3.1
0.65,25,2.5
0.7,34,3.4
0.75,32,3.2
0.8,30,3
0.85,37,3.7
0.9,39,3.9
0.95,40,4
1,39,3.9
1.05,39,3.9
1.1,28,2.8
1.15,43,4.3
1.2,36,3.6
1.25,40,4
1.3,53,5.3
1.35,51,5.1
1.4,71,7.1
1.45,75,7.5
1.5,74,7.4
1.55,85,8.5
1.6,78,7.8
1.65,58,5.8
1.7,47,4.7
1.75,52,5.2
1.8,41,4.1
1.85,55,5.5
1.9,65,6.5
1.95,92,9.2
2,104,10.4
2.05,122,12.2
2.1,114,11.4
2.15,100,10
2.2,98,9.8
2.25,81,8.1
2.3,67,6.7
2.35,49,4.9
2.4,37,3.7
2.45,45,4.5
2.5,61,6.1
2.55,72,7.2
2.6,91,9.1
2.65,98,9.8
2.7,102,10.2
2.75,108,10.8
2.8,88,8.8
2.85,62,6.2
2.9,47,4.7
2.95,43,4.3
3,34,3.4
3.05,40,4
3.1,49,4.9
3.15,50,5
3.2,45,4.5
3.25,51,5.1
3.3,62,6.2
3.35,39,3.9
3.4,36,3.6
3.45,44,4.4
3.5,46,4.6
3.55,49,4.9
3.6,64,6.4
3.65,76,7.6
3.7,82,8.2
3.75,73,7.3
3.8,64,6.4
3.85,70,7
3.9,60,6
3.95,76,7.6
4,77,7.7
4.05,109,10.9
4.1,101,10.1
4.15,116,11.6
4.2,130,13
4.25,150,15
4.3,199,19.9
4.35,233,23.3
4.4,296,29.6
4.45,317,31.7
4.5,353,35.3
4.55,321,32.1
4.6,312,31.2
4.65,251,25.1
4.7,208,20.8
4.75,195,19.5
4.8,205,20.5
4.85,325,32.5
4.9,485,48.5
4.95,668,66.8
5,795,79.5
5.05,979,97.9
5.1,956,95.6
5.15,929,92.9
5.2,754,75.4
5.25,508,50.8
5.3,378,37.8
5.35,238,23.8
5.4,256,25.6
5.45,417,41.7
5.5,797,79.7
5.55,1150,115
5.6,1467,146.7
5.65,1554,155.4
5.7,1752,175.2
5.75,1557,155.7
5.8,1147,114.7
5.85,773,77.3
5.9,421,42.1
5.95,248,24.8
6,301,30.1
6.05,574,57.4
6.1,1148,114.8
6.15,1699,169.9
6.2,2062,206.2
6.25,2335,233.5
6.3,2215,221.5
6.35,2048,204.8
6.4,1446,144.6
6.45,1052,105.2
6.5,427,42.7
6.55,211,21.1
6.6,279,27.9
6.65,663,66.3
6.7,1107,110.7
6.75,1792,179.2
6.8,2379,237.9
6.85,2516,251.6
6.9,2507,250.7
6.95,2231,223.1
7,1380,138
7.05,1024,102.4
7.1,348,34.8
7.15,146,14.6
7.2,253,25.3
7.25,619,61.9
7.3,1143,114.3
7.35,1606,160.6
7.4,2035,203.5
7.45,2250,225
7.5,2024,202.4
7.55,1922,192.2
7.6,1113,111.3
7.65,682,68.2
7.7,366,36.6
7.75,149,14.9
7.8,208,20.8
7.85,510,51
7.9,704,70.4
7.95,1036,103.6
8,1501,150.1
8.05,1436,143.6
8.1,1325,132.5
8.15,1089,108.9
8.2,726,72.6
8.25,464,46.4
8.3,421,42.1
8.35,188,18.8
8.4,197,19.7
8.45,353,35.3
8.5,536,53.6
8.55,703,70.3
8.6,748,74.8
8.65,781,78.1
8.7,676,67.6
8.75,545,54.5
8.8,395,39.5
8.85,269,26.9
8.9,225,22.5
8.95,187,18.7
9,197,19.7
9.05,228,22.8
9.1,217,21.7
9.15,256,25.6
9.2,207,20.7
9.25,216,21.6
9.3,157,15.7
9.35,134,13.4
9.4,83,8.3
9.45,53,5.3
9.5,33,3.3
9.55,25,2.5
9.6,21,2.1
9.65,29,2.9
9.7,25,2.5
9.75,33,3.3
9.8,19,1.9
9.85,21,2.1
9.9,31,3.1
9.95,20,2
10,18,1.8
10.05,16,1.6
10.1,26,2.6
10.15,32,3.2
10.2,22,2.2
10.25,22,2.2
10.3,21,2.1
10.35,29,2.9
10.4,34,3.4
10.45,27,2.7
10.5,17,1.7
10.55,34,3.4
10.6,22,2.2
10.65,24,2.4
10.7,37,3.7
10.75,24,2.4
10.8,30,3
10.85,33,3.3
10.9,29,2.9
10.95,24,2.4
11,21,2.1
11.05,26,2.6
11.1,19,1.9
11.15,27,2.7
11.2,26,2.6
11.25,23,2.3
11.3,24,2.4
11.35,27,2.7
11.4,23,2.3
11.45,29,2.9
11.5,33,3.3
11.55,28,2.8
11.6,26,2.6
11.65,21,2.1
11.7,25,2.5
11.75,26,2.6
11.8,21,2.1
11.85,26,2.6
11.9,24,2.4
11.95,27,2.7
12,35,3.5
12.05,24,2.4
12.1,23,2.3
12.15,27,2.7
12.2,25,2.5
12.25,22,2.2
12.3,32,3.2
12.35,21,2.1
12.4,32,3.2
12.45,31,3.1
12.5,19,1.9
12.55,15,1.5
12.6,25,2.5
12.65,16,1.6
12.7,22,2.2
12.75,25,2.5
12.8,35,3.5
12.85,18,1.8
12.9,18,1.8
12.95,20,2
13,27,2.7
