Micrometer Position (mm),counts/10s,Photon/S (Hz)
0.5,18,1.8
0.6,20,2
0.7,23,2.3
0.8,22,2.2
0.9,23,2.3
1,19,1.9
1.1,25,2.5
1.2,19,1.9
1.3,29,2.9
1.4,21,2.1
1.5,25,2.5
1.6,18,1.8
1.7,18,1.8
1.8,24,2.4
1.9,16,1.6
2,26,2.6
2.1,26,2.6
2.2,22,2.2
2.3,21,2.1
2.4,28,2.8
2.5,33,3.3
2.6,26,2.6
2.7,15,1.5
2.8,21,2.1
2.9,32,3.2
3,26,2.6
3.1,32,3.2
3.2,27,2.7
3.3,30,3
3.4,34,3.4
3.5,33,3.3
3.6,32,3.2
3.7,37,3.7
3.8,36,3.6
3.9,42,4.2
4,31,3.1
4.1,28,2.8
4.2,28,2.8
4.3,25,2.5
4.4,38,3.8
4.5,40,4
4.6,50,5
4.7,41,4.1
4.8,47,4.7
4.9,41,4.1
5,29,2.9
5.1,38,3.8
5.2,37,3.7
5.3,40,4
5.4,43,4.3
5.5,41,4.1
5.6,52,5.2
5.7,39,3.9
5.8,36,3.6
5.9,42,4.2
6,39,3.9
6.1,42,4.2
6.2,41,4.1
6.3,62,6.2
6.4,58,5.8
6.5,61,6.1
6.6,73,7.3
6.7,84,8.4
6.8,91,9.1
6.9,146,14.6
7,159,15.9
7.1,175,17.5
7.2,216,21.6
7.3,260,26
7.4,293,29.3
7.5,371,37.1
7.6,382,38.2
7.7,462,46.2
7.8,469,46.9
7.9,514,51.4
8,615,61.5
8.1,629,62.9
8.2,702,70.2
8.3,738,73.8
8.4,748,74.8
8.5,822,82.2
8.6,777,77.7
8.7,848,84.8
8.8,834,83.4
8.9,822,82.2
9,862,86.2
9.1,863,86.3
9.2,810,81
9.3,784,78.4
9.4,726,72.6
9.5,668,66.8
9.6,604,60.4
9.7,549,54.9
9.8,424,42.4
9.9,110,11
10,33,3.3
10.1,26,2.6
10.2,23,2.3
10.3,24,2.4
10.4,18,1.8
10.5,23,2.3
10.6,20,2
10.7,20,2
10.8,15,1.5
10.9,15,1.5
11,16,1.6
11.1,15,1.5
11.2,21,2.1
11.3,15,1.5
11.4,19,1.9
11.5,18,1.8
11.6,19,1.9
11.7,17,1.7
11.8,11,1.1
11.9,13,1.3
12,19,1.9
12.1,16,1.6
12.2,17,1.7
12.3,19,1.9
12.4,17,1.7
12.5,19,1.9
12.6,15,1.5
12.7,17,1.7
12.8,12,1.2
12.9,17,1.7
13,22,2.2
13.1,19,1.9
13.2,21,2.1
13.3,18,1.8
13.4,18,1.8
13.5,17,1.7
