Micrometer Position (mm),Voltage (V)
0,0.011
0.05,0.011
0.1,0.011
0.15,0.011
0.2,0.011
0.25,0.011
0.3,0.011
0.35,0.011
0.4,0.011
0.45,0.011
0.5,0.011
0.55,0.011
0.6,0.011
0.65,0.011
0.7,0.011
0.75,0.01
0.8,0.01
0.85,0.011
0.9,0.011
0.95,0.01
1,0.011
1.05,0.012
1.1,0.012
1.15,0.012
1.2,0.012
1.25,0.012
1.3,0.012
1.35,0.012
1.4,0.012
1.45,0.012
1.5,0.012
1.55,0.012
1.6,0.012
1.65,0.012
1.7,0.012
1.75,0.012
1.8,0.012
1.85,0.012
1.9,0.012
1.95,0.012
2,0.012
2.05,0.012
2.1,0.012
2.15,0.012
2.2,0.012
2.25,0.013
2.3,0.013
2.35,0.013
2.4,0.013
2.45,0.013
2.5,0.014
2.55,0.015
2.6,0.015
2.65,0.017
2.7,0.018
2.75,0.018
2.8,0.019
2.85,0.021
2.9,0.022
2.95,0.023
3,0.022
3.05,0.025
3.1,0.029
3.15,0.032
3.2,0.035
3.25,0.038
3.3,0.043
3.35,0.045
3.4,0.049
3.45,0.052
3.5,0.045
3.55,0.059
3.6,0.063
3.65,0.068
3.7,0.072
3.75,0.079
3.8,0.084
3.85,0.088
3.9,0.094
3.95,0.1
4,0.107
4.05,0.11
4.1,0.117
4.15,0.123
4.2,0.127
4.25,0.135
4.3,0.14
4.35,0.148
4.4,0.153
4.45,0.16
4.5,0.169
4.55,0.175
4.6,0.182
4.65,0.186
4.7,0.19
4.75,0.195
4.8,0.202
4.85,0.199
4.9,0.205
4.95,0.212
5,0.226
5.05,0.231
5.1,0.24
5.15,0.246
5.2,0.254
5.25,0.257
5.3,0.259
5.35,0.266
5.4,0.268
5.45,0.272
5.5,0.278
5.55,0.281
5.6,0.278
5.65,0.282
5.7,0.285
5.75,0.284
5.8,0.283
5.85,0.286
5.9,0.287
5.95,0.288
6,0.284
6.05,0.282
6.1,0.274
6.15,0.271
6.2,0.269
6.25,0.263
6.3,0.266
6.35,0.265
6.4,0.262
6.45,0.257
6.5,0.254
6.55,0.249
6.6,0.244
6.65,0.24
6.7,0.233
6.75,0.228
6.8,0.223
6.85,0.217
6.9,0.216
6.95,0.208
7,0.205
7.05,0.196
7.1,0.188
7.15,0.182
7.2,0.175
7.25,0.169
7.3,0.166
7.35,0.155
7.4,0.145
7.45,0.141
7.5,0.135
7.55,0.128
7.6,0.122
7.65,0.116
7.7,0.11
7.75,0.105
7.8,0.1
7.85,0.094
7.9,0.091
7.95,0.083
8,0.078
8.05,0.074
8.1,0.068
8.15,0.063
8.2,0.06
8.25,0.056
8.3,0.052
8.35,0.049
8.4,0.045
8.45,0.04
8.5,0.042
8.55,0.037
8.6,0.034
8.65,0.029
8.7,0.027
8.75,0.026
8.8,0.023
8.85,0.024
8.9,0.021
8.95,0.018
9,0.017
9.05,0.016
9.1,0.015
9.15,0.013
9.2,0.013
9.25,0.012
9.3,0.012
9.35,0.012
9.4,0.012
9.45,0.012
9.5,0.012
9.55,0.011
9.6,0.011
9.65,0.011
9.7,0.011
9.75,0.011
9.8,0.011
9.85,0.01
9.9,0.011
9.95,0.011
10,0.011
10.05,0.011
10.1,0.01
10.15,0.01
10.2,0.011
10.25,0.01
10.3,0.011
10.35,0.011
10.4,0.011
10.45,0.011
10.5,0.01
10.55,0.011
10.6,0.01
10.65,0.011
10.7,0.011
10.75,0.011
10.8,0.011
10.85,0.011
10.9,0.01
10.95,0.01
11,0.011
11.05,0.011
11.1,0.011
11.15,0.011
11.2,0.01
11.25,0.011
11.3,0.01
11.35,0.011
11.4,0.011
11.45,0.011
11.5,0.011
11.55,0.011
11.6,0.011
11.65,0.011
11.7,0.011
11.75,0.011
11.8,0.01
11.85,0.01
11.9,0.01
11.95,0.011
12,0.01
12.05,0.01
12.1,0.011
12.15,0.01
12.2,0.01
12.25,0.011
12.3,0.01
12.35,0.01
12.4,0.01
12.45,0.011
12.5,0.011
12.55,0.011
12.6,0.011
12.65,0.011
12.7,0.011
12.75,0.011
12.8,0.011
12.85,0.011
12.9,0.01
12.95,0.01
13,0.01
