n&l / pm,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s
25.6,0.6,1.0,3.3,5.4,12.6
26.6,0.4,1.1,1.9,6.4,12.2
27.6,0.2,0.4,2.4,6.9,12.2
28.5,0.2,1.3,1.4,7.0,15.6
29.5,0.2,0.7,2.6,5.8,16.1
30.5,0.5,1.3,1.8,7.1,22.8
31.5,0.5,1.1,3.1,7.7,30.6
32.5,0.2,0.6,1.8,6.1,63.0
33.4,0.3,0.9,3.1,9.0,149.4
34.4,0.4,0.7,3.2,10.5,253.0
35.4,0.3,0.2,1.9,10.0,382.6
36.4,0.5,1.4,3.8,17.6,464.4
37.4,0.4,1.2,3.6,43.0,567.9
38.4,0.6,0.7,3.2,118.0,617.0
39.3,0.2,1.3,2.3,249.4,719.3
40.3,0.3,0.6,4.0,323.1,759.6
41.3,0.3,0.8,3.4,404.6,831.3
42.3,0.4,0.5,3.6,466.9,810.9
43.3,0.4,0.7,5.4,517.4,900.0
44.3,0.3,0.8,10.9,560.2,878.2
45.2,0.1,0.9,34.2,616.3,918.9
46.2,0.4,1.0,93.0,604.6,875.4
47.2,0.7,1.0,169.3,656.6,919.4
48.2,0.3,1.5,209.0,658.2,911.0
49.2,0.0,1.0,252.1,664.5,885.2
50.1,0.6,1.0,274.7,640.7,857.4
51.1,0.3,1.2,313.6,666.3,877.0
52.1,0.1,1.1,314.9,637.8,838.1
53.1,0.4,1.4,340.0,649.2,851.1
54.1,0.2,1.6,336.3,604.0,785.7
55.0,0.5,4.0,344.7,620.1,784.7
56.0,0.0,10.9,351.0,583.1,738.3
57.0,0.3,33.1,340.3,596.6,740.9
58.0,0.3,55.1,342.3,554.2,699.2
59.0,0.2,83.2,357.4,594.8,727.0
59.9,0.5,103.8,393.5,655.9,820.4
60.9,0.3,125.6,489.8,892.5,1211.2
61.9,0.2,138.7,577.1,1118.9,1555.4
62.9,0.6,158.5,537.1,1018.6,1509.6
63.8,0.4,146.9,362.5,598.2,821.5
64.8,0.0,154.0,337.3,513.2,653.1
65.8,0.8,151.7,313.4,488.3,614.6
66.8,0.2,159.5,335.5,512.9,670.0
67.8,0.2,160.1,405.2,747.1,999.1
68.7,0.4,189.5,688.7,1412.1,1956.4
69.7,0.4,191.4,1040.0,2120.9,3011.4
70.7,0.4,195.5,937.1,1967.0,2993.3
71.7,0.3,153.6,413.4,769.9,1286.8
72.6,0.6,151.4,260.6,381.2,531.0
73.6,1.4,140.4,243.7,355.1,497.0
74.6,4.9,142.2,243.6,350.9,500.8
75.6,8.8,130.3,232.4,321.2,487.0
76.5,16.0,139.0,217.9,311.0,453.6
77.5,20.8,130.9,200.7,291.8,440.7
78.5,27.8,127.2,197.2,294.8,429.5
79.5,29.0,125.6,188.2,281.6,412.6
80.4,33.7,122.2,175.9,280.3,413.0
81.4,35.5,109.7,168.9,263.2,385.7
82.4,37.2,100.5,166.2,266.4,389.5
83.4,33.2,99.1,151.3,242.3,362.4
84.3,36.6,90.9,152.7,249.4,357.4
85.3,34.4,88.0,131.4,220.0,335.9
86.3,36.8,82.3,134.5,229.8,333.8
87.3,34.0,78.5,124.3,215.6,316.5
88.2,34.1,78.9,113.1,223.3,319.1
89.2,31.2,69.3,106.9,203.8,295.1
90.2,31.1,65.9,98.1,209.3,280.9
91.1,27.8,57.9,91.7,177.8,272.2
92.1,22.3,51.0,82.4,182.6,263.6
93.1,25.2,47.5,75.8,169.1,245.4
94.1,22.1,44.7,75.3,165.4,239.7
95.0,18.6,39.4,75.2,166.0,225.9
96.0,20.2,38.4,74.6,152.4,228.5
97.0,15.2,35.7,73.9,149.7,207.6
97.9,18.0,32.3,77.5,139.8,208.9
98.9,17.4,28.6,81.0,143.3,200.3
99.9,14.1,27.1,73.2,141.2,199.0
100.8,14.3,24.6,66.9,130.5,183.9
101.8,13.6,24.6,71.3,137.1,190.5
102.8,12.2,21.7,70.8,131.3,181.2
103.7,11.8,21.6,69.0,128.8,187.0
104.7,11.6,20.4,66.0,124.3,174.5
105.7,10.2,18.1,71.1,121.3,176.6
106.6,9.8,17.7,67.4,119.6,164.7
107.6,9.3,18.6,65.7,114.2,168.3
108.6,7.2,15.8,63.2,112.8,169.0
109.5,7.7,16.1,63.2,113.3,167.7
110.5,6.3,12.7,61.0,98.6,153.8
111.5,6.1,9.6,62.5,101.7,155.2
112.4,4.1,8.9,59.8,94.4,144.8
113.4,4.6,7.4,56.2,94.0,154.5
114.4,3.9,9.6,54.7,90.0,139.4
115.3,4.3,9.2,52.8,94.0,144.3
116.3,4.3,10.1,54.5,89.0,139.2
117.3,3.1,10.8,54.4,90.5,144.3
118.2,2.9,11.8,51.7,87.6,134.7
119.2,3.8,15.1,49.5,88.2,134.3
120.1,1.8,14.3,50.1,87.6,129.5
121.1,2.3,16.4,54.7,80.2,134.8
122.1,1.4,16.3,54.5,99.5,147.2
