n&l / pm	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s
24.6	5.2	6.9	8.4	11.6
25.6	4.4	7.3	9.8	12.9
26.6	4.7	9.7	11.6	16.2
27.6	6.8	7.0	12.7	14.5
28.5	6.8	7.5	11.7	15.4
29.5	8.9	11.5	14.4	17.8
30.5	13.9	14.1	17.4	23.3
31.5	25.4	24.9	24.5	33.8
32.5	63.6	54.0	57.2	69.3
33.4	120.6	128.9	145.8	166.8
34.4	183.2	206.9	247.2	286.6
35.4	242.7	296.3	344.1	416.6
36.4	311.8	355.7	410.5	502.8
37.4	356.4	428.4	518.0	597.8
38.4	380.8	478.3	563.6	665.1
39.3	420.0	541.3	643.4	764.8
40.3	451.1	569.3	670.0	818.9
41.3	463.7	607.9	727.2	858.4
42.3	484.6	627.2	744.3	876.5
43.3	510.3	663.0	775.4	941.5
44.3	528.7	662.8	778.0	918.6
45.2	529.8	682.9	814.7	959.8
46.2	530.6	665.7	799.8	931.8
47.2	514.1	682.1	824.0	976.7
48.2	540.2	676.2	796.1	941.2
49.2	509.5	667.8	812.2	958.0
50.1	518.2	652.2	777.6	913.5
51.1	496.5	649.7	768.3	918.1
52.1	488.6	618.5	749.0	876.9
53.1	471.6	618.4	743.7	867.4
54.1	443.9	588.9	707.9	829.3
55.0	435.5	569.4	680.9	820.9
56.0	425.2	554.4	657.8	772.1
57.0	411.5	543.5	635.1	762.5
58.0	391.4	508.7	620.2	730.2
59.0	414.3	550.0	647.3	755.3
59.9	544.6	661.5	770.9	901.7
60.9	785.0	953.7	1135.0	1285.4
61.9	955.8	1204.0	1442.1	1643.0
62.9	752.3	1027.1	1229.3	1472.6
63.8	407.9	531.9	672.9	799.5
64.8	358.3	471.5	547.0	658.1
65.8	344.7	460.3	545.7	639.2
66.8	399.0	486.4	594.8	703.5
67.8	749.1	877.2	1015.8	1115.7
68.7	1474.5	1685.2	1937.7	2129.5
69.7	2047.9	2458.6	2865.1	3200.9
70.7	1574.9	2101.4	2494.3	2956.7
71.7	546.1	753.6	909.9	1150.4
72.6	291.2	389.8	464.1	553.5
73.6	267.4	361.7	445.5	526.0
74.6	256.6	349.1	424.7	516.4
75.6	266.1	339.8	419.3	485.7
76.5	248.5	329.8	404.4	484.6
77.5	241.1	312.1	384.8	456.0
78.5	228.7	307.2	386.1	436.2
79.5	226.2	293.9	357.3	435.9
80.4	210.2	284.4	359.4	417.3
81.4	205.7	270.8	341.5	405.9
82.4	196.9	266.3	321.2	392.6
83.4	189.8	251.9	309.3	368.4
84.3	185.2	246.7	297.7	365.9
85.3	173.7	239.2	293.1	339.6
86.3	172.1	237.3	281.3	354.8
87.3	172.3	230.1	274.6	338.4
88.2	160.5	207.6	267.4	331.2
89.2	152.4	210.3	252.0	311.2
90.2	141.5	198.0	246.3	303.2
91.1	140.9	191.5	233.8	288.4
92.1	133.8	186.0	217.9	253.1
93.1	125.3	170.3	207.6	241.5
94.1	122.0	160.1	208.0	248.0
95.0	116.2	153.4	199.2	241.3
96.0	115.1	157.9	192.9	235.1
97.0	113.4	145.8	179.6	226.9
97.9	103.1	142.0	176.9	214.6
98.9	110.4	137.9	172.5	203.1
99.9	100.0	134.2	173.6	212.8
100.8	97.4	130.7	168.8	196.3
101.8	94.9	131.0	162.2	203.4
102.8	87.7	128.8	160.4	194.3
103.7	93.0	129.3	163.5	191.1
104.7	89.4	128.9	155.1	187.5
105.7	88.0	121.7	150.4	185.2
106.6	86.9	123.3	143.5	178.9
107.6	84.9	111.7	147.8	181.0
108.6	80.6	116.4	136.5	175.4
109.5	79.6	107.8	140.7	163.5
110.5	80.8	103.9	137.5	162.2
111.5	69.9	103.1	128.4	164.3
112.4	70.5	99.7	133.3	150.3
113.4	72.2	95.1	128.2	154.5
114.4	72.0	100.6	124.0	148.7
115.3	67.4	101.5	121.2	144.0
116.3	68.0	94.6	118.9	139.6
117.3	69.6	92.6	116.1	142.9
118.2	62.0	88.4	116.2	141.4
119.2	64.5	92.5	119.7	138.7
120.1	60.6	87.8	110.1	135.0
121.1	63.3	92.4	110.9	143.6
122.1	71.3	104.4	130.5	149.0
