n&l / pm,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s,R_5 / 1/s
25.6,0.6,2.3,6.4,13.2,0.3
26.6,0.9,2.9,7.0,14.7,0.8
27.6,1.0,2.4,6.0,11.7,0.1
28.5,1.1,3.4,7.4,15.1,0.4
29.5,0.8,2.4,5.8,17.7,0.3
30.5,1.0,2.0,7.0,22.2,0.5
31.5,1.4,2.9,7.1,34.8,0.6
32.5,0.9,2.7,7.1,74.1,0.1
33.4,0.8,2.6,7.9,179.0,0.6
34.4,0.9,1.9,7.6,281.1,0.7
35.4,0.8,3.0,9.8,423.6,0.2
36.4,0.3,3.5,15.5,501.5,0.5
37.4,0.4,3.4,38.7,608.8,0.4
38.4,0.9,3.5,102.2,652.0,0.3
39.3,0.9,3.1,204.4,763.5,0.1
40.3,1.5,4.3,307.9,803.9,0.3
41.3,1.2,3.1,370.0,873.5,0.2
42.3,0.7,3.0,420.2,863.4,0.5
43.3,1.3,5.5,485.0,933.0,0.7
44.3,0.9,12.9,515.1,919.1,0.3
45.2,0.9,37.2,544.4,949.3,0.1
46.2,0.6,85.8,560.5,924.6,0.4
47.2,1.3,152.4,605.7,956.8,0.8
48.2,0.7,212.1,602.4,929.4,0.4
49.2,1.1,240.3,600.3,941.6,0.4
50.1,1.1,271.0,596.5,886.6,0.4
51.1,1.4,299.2,608.3,918.4,0.2
52.1,1.5,315.6,611.0,851.4,0.2
53.1,1.1,331.5,601.8,843.5,0.4
54.1,1.1,329.2,580.1,788.4,0.6
55.0,2.9,349.5,564.6,808.6,0.3
56.0,9.3,342.6,568.4,765.2,0.4
57.0,22.1,334.9,539.7,743.4,0.1
58.0,52.4,335.0,524.5,706.1,0.4
59.0,77.5,343.8,531.3,749.2,0.4
59.9,97.8,397.8,631.1,865.8,0.2
60.9,122.2,482.7,851.7,1239.8,0.5
61.9,135.4,569.5,1076.6,1588.1,0.9
62.9,144.8,498.5,892.0,1499.2,0.3
63.8,140.8,352.2,535.2,793.2,0.3
64.8,149.2,324.6,477.8,651.3,0.2
65.8,147.8,308.1,453.0,614.8,0.4
66.8,151.5,331.4,491.2,699.0,0.3
67.8,153.0,436.8,749.1,1027.3,0.5
68.7,172.6,726.8,1409.9,2009.6,0.8
69.7,180.6,1047.4,2058.2,3052.0,0.2
70.7,173.6,873.5,1723.8,2976.7,0.5
71.7,142.5,375.0,639.7,1236.2,0.4
72.6,150.4,262.7,351.1,544.7,0.2
73.6,138.7,235.0,330.9,495.7,0.5
74.6,134.3,228.2,322.1,498.3,1.3
75.6,135.6,225.2,309.0,478.2,2.3
76.5,127.7,206.9,294.5,471.8,7.3
77.5,124.1,198.9,269.2,443.6,11.4
78.5,120.2,192.0,268.6,440.0,21.5
79.5,117.3,189.8,271.9,418.1,21.1
80.4,109.4,165.7,258.7,404.3,22.4
81.4,109.7,166.3,257.1,377.6,28.7
82.4,99.1,149.1,242.3,384.9,25.7
83.4,97.6,145.9,243.9,356.8,29.5
84.3,91.8,147.2,233.5,351.0,27.5
85.3,82.3,129.0,222.4,330.4,29.8
86.3,86.4,126.3,216.4,345.6,30.0
87.3,78.1,119.9,209.4,304.6,29.5
88.2,73.5,115.0,214.1,315.5,30.1
89.2,67.8,106.9,191.6,293.7,27.2
90.2,63.0,93.1,188.8,281.5,24.8
91.1,54.3,91.6,176.9,277.9,23.7
92.1,49.8,75.6,173.1,245.3,22.1
93.1,46.3,76.1,157.7,237.0,19.8
94.1,43.4,74.6,156.1,244.4,19.1
95.0,37.7,73.3,149.9,221.4,20.8
96.0,32.5,74.3,149.2,214.6,15.2
97.0,32.1,73.3,144.0,204.8,17.6
97.9,33.1,71.2,135.0,210.1,14.7
98.9,28.7,70.0,134.5,199.8,16.0
99.9,25.0,69.4,131.9,205.8,12.5
100.8,25.9,67.6,125.1,184.1,13.7
101.8,22.1,70.1,129.4,186.1,12.0
102.8,22.5,70.2,129.0,188.1,10.2
103.7,20.4,66.9,124.0,190.5,10.2
104.7,18.8,61.4,113.7,182.7,10.8
105.7,17.2,62.1,118.6,183.0,10.1
106.6,16.3,67.6,113.4,168.5,9.4
107.6,15.7,62.7,106.0,168.6,7.9
108.6,14.7,60.0,100.7,166.4,7.3
109.5,12.3,61.4,105.1,162.1,6.9
110.5,11.3,60.7,96.2,157.6,4.5
111.5,7.5,58.4,96.9,151.3,4.5
112.4,10.0,52.7,96.0,141.7,4.4
113.4,9.6,54.2,90.6,150.9,4.6
114.4,7.5,54.0,91.4,147.9,4.0
115.3,7.3,51.6,87.5,138.6,4.1
116.3,8.0,54.5,85.4,135.5,3.4
117.3,11.2,52.1,86.5,134.5,3.1
118.2,13.6,52.2,87.6,136.0,2.8
119.2,12.8,51.9,78.6,135.9,1.5
120.1,11.8,44.6,83.4,124.1,2.4
121.1,13.3,47.6,80.0,129.6,2.1
122.1,15.6,51.0,96.2,143.8,3.1
