Freqency [mHz],Max pk-pk [V],Max Amplitude [V]
700,5.3,2.65
710,5.5,2.75
720,5.9,2.95
730,6.3,3.15
740,6.6,3.3
750,7.8,3.9
760,8.6,4.3
770,9,4.5
780,10.4,5.2
790,13.6,6.8
800,16.4,8.2
810,18,9
820,20,10
830,23.2,11.6
840,28.8,14.4
842,30,15
844,32.4,16.2
846,34.4,17.2
848,36,18
850,38,19
852,39.2,19.6
854,40,20
856,42.4,21.2
858,45.6,22.8
860,47.2,23.6
862,48,24
864,46.8,23.4
866,47.2,23.6
868,42.8,21.4
870,40,20
872,37.2,18.6
874,35.2,17.6
876,34,17
878,32.8,16.4
880,30,15
890,27.6,13.8
900,20,10
910,17.6,8.8
920,16.4,8.2
930,14.8,7.4
940,11.8,5.9
950,9.4,4.7
960,8.6,4.3
970,7.2,3.6
980,6.1,3.05
990,5.5,2.75
1000,5.3,2.65
