input Amp. [V],Output Amp. [V]
0.005,0.02
0.025,0.02
0.0375,0.02
0.05,0.02
0.1,0.02
0.15,0.024
0.2,0.024
0.25,0.024
0.3,0.024
0.35,0.024
0.4,0.024
0.45,0.024
0.5,0.024
0.6,0.024
0.75,0.024
0.8,0.024
0.85,0.024
0.9,0.024
0.95,0.024
1,0.024
1.05,0.024
1.1,0.152
1.15,0.208
1.2,0.388
1.25,0.74
1.3,0.94
1.35,1.76
1.4,2.32
1.45,3.92
1.5,5.4
1.55,6.6
1.6,8.1
1.65,9.5
1.7,10.8
1.75,11.2
1.8,11.7
1.85,12.2
1.9,13.4
1.95,13.7
2,14.3
2.05,15.5
2.1,16.2
2.15,16.6
2.2,17
2.25,17.3
2.3,17.6
2.35,18
2.4,18.3
2.45,18.8
2.5,19.2
2.55,19.4
2.6,19.6
2.65,19.8
2.7,20
2.75,20.2
2.8,20.2
2.85,20.4
2.9,20.6
2.95,20.6
3,20.8
3.1,21
3.2,21
3.3,21.2
3.4,21.4
3.5,21.4
